Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Jambi,2020,4.0,2.0,96.0,5.5,113.7,54.34,Moderate
Lampung,2020,4.5,2.5,111.0,5.5,113.7,61.48,High
Lampung,2021,5.0,4.5,86.8,5.5,101.2,62.44,High
Lampung,2022,5.0,5.5,96.1,5.5,106.6,64.19,High
Lampung,2023,5.0,5.5,94.0,5.5,107.0,66.38,Moderate
Maluku,2023,4.5,5.0,97.0,5.5,124.0,62.88,Moderate
North Kalimantan,2022,4.5,5.0,88.4,5.5,114.2,60.7,High
North Kalimantan,2023,5.5,5.5,113.0,5.5,113.0,69.31,Moderate
North Maluku,2020,4.0,2.0,98.0,5.5,113.7,55.27,Moderate
North Sulawesi,2023,5.0,5.0,104.0,5.5,124.0,64.41,Moderate
North Sumatra,2021,4.5,4.0,94.1,5.5,106.0,57.26,Moderate
North Sumatra,2022,5.0,5.0,100.2,5.5,113.7,64.7,High
North Sumatra,2023,5.0,5.5,105.0,5.5,110.0,67.01,Moderate
Riau,2020,4.0,2.0,99.0,5.5,113.7,55.2,Moderate
Riau,2021,5.0,4.0,90.6,5.5,115.3,59.77,Moderate
Riau,2022,5.0,5.5,95.8,5.5,114.2,64.23,High
Riau,2023,5.0,5.5,100.0,5.5,115.0,66.69,Moderate
Riau Islands,2020,4.0,2.5,98.0,5.5,113.7,56.36,Moderate
Riau Islands,2021,4.5,4.5,97.5,5.5,113.7,61.83,High
South East Sulawesi,2020,4.5,2.5,82.0,5.5,113.7,55.99,Moderate
South East Sulawesi,2021,4.5,3.5,85.2,5.5,122.5,57.63,Moderate
South East Sulawesi,2022,5.0,5.5,96.6,5.5,121.2,65.23,High
South Kalimantan,2020,4.0,2.5,94.0,5.5,113.7,55.85,Moderate
South Kalimantan,2021,5.0,4.5,92.6,5.5,104.3,60.85,Moderate
South Kalimantan,2023,5.0,5.5,103.0,5.5,110.0,67.14,Moderate
South Sulawesi,2020,4.5,2.0,106.0,5.5,113.7,58.9,Moderate
South Sulawesi,2021,5.0,4.5,106.7,5.5,113.5,63.1,High
South Sumatra,2020,4.0,2.0,87.0,5.5,113.7,52.38,Moderate
South Sumatra,2023,5.0,5.0,105.0,5.5,103.0,64.15,Moderate
West Java,2020,5.0,2.5,112.0,5.5,113.7,62.84,High
West Java,2021,5.5,4.5,108.7,5.5,117.2,65.34,High
West Kalimantan,2020,4.0,2.0,95.0,5.5,113.7,55.24,Moderate
West Kalimantan,2022,5.0,5.5,91.8,5.5,107.3,64.1,High
West Nusa Tenggara,2020,4.0,2.5,83.0,5.5,113.7,53.49,Moderate
West Nusa Tenggara,2021,4.5,3.5,81.1,5.5,107.7,56.41,Moderate
West Nusa Tenggara,2022,4.5,5.0,88.8,5.5,127.4,60.97,High
West Nusa Tenggara,2023,5.0,5.5,100.0,5.5,105.0,65.58,Moderate
West Sulawesi,2022,4.5,5.0,86.4,5.5,112.8,59.14,Moderate
West Sumatra,2020,4.0,2.0,97.0,5.5,113.7,56.09,Moderate
West Sumatra,2021,5.0,4.5,88.0,5.5,104.1,61.15,High
West Sumatra,2022,5.0,5.5,104.0,5.5,117.8,66.87,High
Yogyakarta,2020,5.0,2.5,123.0,5.5,113.7,65.73,High
